date,date1,price
 99/09/01, 99/09/01,53.7
 99/09/02, 99/09/02,54
 99/09/03, 99/09/03,54.55
 99/09/06, 99/09/06,54.95
 99/09/07, 99/09/07,54.85
 99/09/08, 99/09/08,54.75
 99/09/09, 99/09/09,54.75
 99/09/10, 99/09/10,55.25
 99/09/13, 99/09/13,56.8
 99/09/14, 99/09/14,57
 99/09/15, 99/09/15,57.25
 99/09/16, 99/09/16,56.65
 99/09/17, 99/09/17,57.3
 99/09/20, 99/09/20,57.25
 99/09/21, 99/09/21,57.35
 99/09/23, 99/09/23,57.35
 99/09/24, 99/09/24,57
 99/09/27, 99/09/27,57.5
 99/09/28, 99/09/28,57.4
 99/09/29, 99/09/29,57.8
 99/09/30, 99/09/30,57.7
 99/10/01, 99/10/01,57.75
 99/10/04, 99/10/04,57.75
 99/10/05, 99/10/05,57.4
 99/10/06, 99/10/06,57.75
 99/10/07, 99/10/07,57.95
 99/10/08, 99/10/08,57.6
 99/10/11, 99/10/11,56.95
 99/10/12, 99/10/12,56.2
 99/10/13, 99/10/13,56.55
 99/10/14, 99/10/14,57.45
 99/10/15, 99/10/15,57.35
 99/10/18, 99/10/18,56.2
 99/10/19, 99/10/19,56.05
 99/10/20, 99/10/20,56.7
 99/10/21, 99/10/21,56.75
 99/10/22, 99/10/22,57.1
 99/10/25, 99/10/25,56.1
 99/10/26, 99/10/26,56.35
 99/10/27, 99/10/27,56.05
 99/10/28, 99/10/28,56.5
 99/10/29, 99/10/29,56
 99/11/01, 99/11/01,56.8
 99/11/02, 99/11/02,56.8
 99/11/03, 99/11/03,56.7
 99/11/04, 99/11/04,57.05
 99/11/05, 99/11/05,57.65
 99/11/08, 99/11/08,57.55
 99/11/09, 99/11/09,57.7
 99/11/10, 99/11/10,57.65
 99/11/11, 99/11/11,57.5
 99/11/12, 99/11/12,56.35
 99/11/15, 99/11/15,56.15
 99/11/16, 99/11/16,56.75
 99/11/17, 99/11/17,56.5
 99/11/18, 99/11/18,56.6
 99/11/19, 99/11/19,56.65
 99/11/22, 99/11/22,57.35
 99/11/23, 99/11/23,56.9
 99/11/24, 99/11/24,56.85
 99/11/25, 99/11/25,57.1
 99/11/26, 99/11/26,56.8
 99/11/29, 99/11/29,56.9
 99/11/30, 99/11/30,57.1
 99/12/01, 99/12/01,58
 99/12/02, 99/12/02,58.45
 99/12/03, 99/12/03,59
 99/12/06, 99/12/06,59.15
 99/12/07, 99/12/07,59.1
 99/12/08, 99/12/08,59.1
 99/12/09, 99/12/09,59.7
 99/12/10, 99/12/10,59.3
 99/12/13, 99/12/13,59.45
 99/12/14, 99/12/14,59.3
 99/12/15, 99/12/15,59.6
 99/12/16, 99/12/16,59.7
 99/12/17, 99/12/17,60.2
 99/12/20, 99/12/20,59.9
 99/12/21, 99/12/21,60.05
 99/12/22, 99/12/22,60.05
 99/12/23, 99/12/23,60.45
 99/12/24, 99/12/24,60.2
 99/12/27, 99/12/27,60.45
 99/12/28, 99/12/28,60.35
 99/12/29, 99/12/29,60.5
 99/12/30, 99/12/30,60.8
 99/12/31, 99/12/31,61.4
100/01/03,100/01/03,61.45
100/01/04,100/01/04,61.3
100/01/05,100/01/05,60.3
100/01/06,100/01/06,60.2
100/01/07,100/01/07,59.65
100/01/10,100/01/10,59.85
100/01/11,100/01/11,60.85
100/01/12,100/01/12,61.1
100/01/13,100/01/13,61.05
100/01/14,100/01/14,61
100/01/17,100/01/17,60.85
100/01/18,100/01/18,61.35
100/01/19,100/01/19,62.05
100/01/20,100/01/20,61.65
100/01/21,100/01/21,61
100/01/24,100/01/24,60.95
100/01/25,100/01/25,61.45
100/01/26,100/01/26,62
100/01/27,100/01/27,62.45
100/01/28,100/01/28,63
100/02/08,100/02/08,62.6
100/02/09,100/02/09,62
100/02/10,100/02/10,60.85
100/02/11,100/02/11,58.9
100/02/14,100/02/14,59.4
100/02/15,100/02/15,59.75
100/02/16,100/02/16,59.85
100/02/17,100/02/17,59.65
100/02/18,100/02/18,60.65
100/02/21,100/02/21,60.65
100/02/22,100/02/22,59.85
100/02/23,100/02/23,59
100/02/24,100/02/24,59
100/02/25,100/02/25,59.5
100/03/01,100/03/01,59.95
100/03/02,100/03/02,59.45
100/03/03,100/03/03,60.2
100/03/04,100/03/04,60.65
100/03/07,100/03/07,60.2
100/03/08,100/03/08,60.25
100/03/09,100/03/09,60.2
100/03/10,100/03/10,59.5
100/03/11,100/03/11,58.85
100/03/14,100/03/14,58.8
100/03/15,100/03/15,57.5
100/03/16,100/03/16,57.3
100/03/17,100/03/17,57.3
100/03/18,100/03/18,57.75
100/03/21,100/03/21,58.1
100/03/22,100/03/22,58.4
100/03/23,100/03/23,58.5
100/03/24,100/03/24,58.75
100/03/25,100/03/25,59.35
100/03/28,100/03/28,59.15
100/03/29,100/03/29,59.25
100/03/30,100/03/30,59.6
100/03/31,100/03/31,59.55
100/04/01,100/04/01,59.85
100/04/06,100/04/06,61.15
100/04/07,100/04/07,61.3
100/04/08,100/04/08,61.1
100/04/11,100/04/11,61.1
100/04/12,100/04/12,60.05
100/04/13,100/04/13,60.4
100/04/14,100/04/14,60.35
100/04/15,100/04/15,59.65
100/04/18,100/04/18,59.55
100/04/19,100/04/19,59.2
100/04/20,100/04/20,60.3
100/04/21,100/04/21,61.7
100/04/22,100/04/22,61.6
100/04/25,100/04/25,61.45
100/04/26,100/04/26,61.2
100/04/27,100/04/27,62.15
100/04/28,100/04/28,62.15
100/04/29,100/04/29,62
100/05/03,100/05/03,62.15
100/05/04,100/05/04,61.8
100/05/05,100/05/05,62.25
100/05/06,100/05/06,61.95
100/05/09,100/05/09,62.3
100/05/10,100/05/10,62.3
100/05/11,100/05/11,62.05
100/05/12,100/05/12,62.25
100/05/13,100/05/13,62.05
100/05/16,100/05/16,61.3
100/05/17,100/05/17,61.25
100/05/18,100/05/18,61.6
100/05/19,100/05/19,61.05
100/05/20,100/05/20,61.1
100/05/23,100/05/23,60.35
100/05/24,100/05/24,60.45
100/05/25,100/05/25,60.25
100/05/26,100/05/26,60.85
100/05/27,100/05/27,60.6
100/05/30,100/05/30,60.5
100/05/31,100/05/31,62
100/06/01,100/06/01,62.35
100/06/02,100/06/02,61.9
100/06/03,100/06/03,62.2
100/06/07,100/06/07,62.2
100/06/08,100/06/08,62
100/06/09,100/06/09,62
100/06/10,100/06/10,60.55
100/06/13,100/06/13,59.75
100/06/14,100/06/14,60.75
100/06/15,100/06/15,60.5
100/06/16,100/06/16,59.4
100/06/17,100/06/17,59.2
100/06/20,100/06/20,58.6
100/06/21,100/06/21,59.05
100/06/22,100/06/22,59.2
100/06/23,100/06/23,58.65
100/06/24,100/06/24,58.2
100/06/27,100/06/27,57.8
100/06/28,100/06/28,57.65
100/06/29,100/06/29,58.65
100/06/30,100/06/30,58.85
100/07/01,100/07/01,59.7
100/07/04,100/07/04,60.05
100/07/05,100/07/05,59.95
100/07/06,100/07/06,60.6
100/07/07,100/07/07,60.35
100/07/08,100/07/08,60.05
100/07/11,100/07/11,59.65
100/07/12,100/07/12,58.7
100/07/13,100/07/13,58.7
100/07/14,100/07/14,58.9
100/07/15,100/07/15,59.2
100/07/18,100/07/18,59
100/07/19,100/07/19,58.9
100/07/20,100/07/20,60.45
100/07/21,100/07/21,60.6
100/07/22,100/07/22,61
100/07/25,100/07/25,60.4
100/07/26,100/07/26,61.2
100/07/27,100/07/27,61.35
100/07/28,100/07/28,60.85
100/07/29,100/07/29,59.9
100/08/01,100/08/01,60.35
100/08/02,100/08/02,59.55
100/08/03,100/08/03,58.6
100/08/04,100/08/04,57.85
100/08/05,100/08/05,54.45
100/08/08,100/08/08,53.5
100/08/09,100/08/09,53
100/08/10,100/08/10,54.1
100/08/11,100/08/11,54.1
100/08/12,100/08/12,53.55
100/08/15,100/08/15,54.6
100/08/16,100/08/16,54.35
100/08/17,100/08/17,53.95
100/08/18,100/08/18,52.95
100/08/19,100/08/19,51.1
100/08/22,100/08/22,51.5
100/08/23,100/08/23,53.3
100/08/24,100/08/24,52.6
100/08/25,100/08/25,52.35
100/08/26,100/08/26,53.05
100/08/29,100/08/29,53.8
100/08/30,100/08/30,54.2
100/08/31,100/08/31,54.55
100/09/01,100/09/01,55.15
100/09/02,100/09/02,55.15
100/09/05,100/09/05,53.6
100/09/06,100/09/06,52.55
100/09/07,100/09/07,53.55
100/09/08,100/09/08,53.7
100/09/09,100/09/09,54.15
100/09/13,100/09/13,52.65
100/09/14,100/09/14,51.6
100/09/15,100/09/15,52.85
100/09/16,100/09/16,54.1
100/09/19,100/09/19,53.2
100/09/20,100/09/20,53.4
100/09/21,100/09/21,53.6
100/09/22,100/09/22,52.1
100/09/23,100/09/23,50.35
100/09/26,100/09/26,49.32
100/09/27,100/09/27,51.1
100/09/28,100/09/28,51.15
100/09/29,100/09/29,51.6
100/09/30,100/09/30,51.65
100/10/03,100/10/03,50.3
100/10/04,100/10/04,50.75
100/10/05,100/10/05,50.25
100/10/06,100/10/06,51.25
100/10/07,100/10/07,51.55
100/10/11,100/10/11,53
100/10/12,100/10/12,52.85
100/10/13,100/10/13,52.8
100/10/14,100/10/14,52.45
100/10/17,100/10/17,53.1
100/10/18,100/10/18,52.55
100/10/19,100/10/19,52.35
100/10/20,100/10/20,51.75
100/10/21,100/10/21,51.95
100/10/24,100/10/24,53.6
100/10/25,100/10/25,53.6
100/10/26,100/10/26,52.15
100/10/27,100/10/27,52.25
100/10/28,100/10/28,52.4
100/10/31,100/10/31,52.2
100/11/01,100/11/01,52.55
100/11/02,100/11/02,52.4
100/11/03,100/11/03,51.45
100/11/04,100/11/04,52.3
100/11/07,100/11/07,52.4
100/11/08,100/11/08,52.15
100/11/09,100/11/09,52.2
100/11/10,100/11/10,50.55
100/11/11,100/11/11,50.9
100/11/14,100/11/14,52.15
100/11/15,100/11/15,51.85
100/11/16,100/11/16,51.2
100/11/17,100/11/17,51.35
100/11/18,100/11/18,50.3
100/11/21,100/11/21,49.23
100/11/22,100/11/22,49.02
100/11/23,100/11/23,47.85
100/11/24,100/11/24,47.86
100/11/25,100/11/25,47.44
100/11/28,100/11/28,48.29
100/11/29,100/11/29,48.72
100/11/30,100/11/30,48.08
100/12/01,100/12/01,50.3
100/12/02,100/12/02,49.82
100/12/05,100/12/05,49.66
100/12/06,100/12/06,48.69
100/12/07,100/12/07,49.2
100/12/08,100/12/08,48.86
100/12/09,100/12/09,48.24
100/12/12,100/12/12,48.8
100/12/13,100/12/13,48.55
100/12/14,100/12/14,48.59
100/12/15,100/12/15,47.5
100/12/16,100/12/16,47.7
100/12/19,100/12/19,46.74
100/12/20,100/12/20,47
100/12/21,100/12/21,49.28
100/12/22,100/12/22,49.16
100/12/23,100/12/23,50
100/12/26,100/12/26,49.95
100/12/27,100/12/27,49.85
100/12/28,100/12/28,49.57
100/12/29,100/12/29,49.61
100/12/30,100/12/30,49.81
101/01/02,101/01/02,49.06
101/01/03,101/01/03,49.7
101/01/04,101/01/04,50
101/01/05,101/01/05,50.15
101/01/06,101/01/06,50
101/01/09,101/01/09,49.81
101/01/10,101/01/10,50.7
101/01/11,101/01/11,50.65
101/01/12,101/01/12,50.75
101/01/13,101/01/13,50.85
101/01/16,101/01/16,50.05
101/01/17,101/01/17,50.55
101/01/18,101/01/18,50.4
101/01/30,101/01/30,51.8
101/01/31,101/01/31,51.95
101/02/01,101/02/01,52.3
101/02/02,101/02/02,52.9
101/02/03,101/02/03,53.05
101/02/04,101/02/04,53.65
101/02/06,101/02/06,53.2
101/02/07,101/02/07,53.3
101/02/08,101/02/08,54.45
101/02/09,101/02/09,54.4
101/02/10,101/02/10,53.95
101/02/13,101/02/13,54.2
101/02/14,101/02/14,54
101/02/15,101/02/15,54.9
101/02/16,101/02/16,54.25
101/02/17,101/02/17,54.75
101/02/20,101/02/20,54.7
101/02/21,101/02/21,54.5
101/02/22,101/02/22,54.85
101/02/23,101/02/23,54.6
101/02/24,101/02/24,54.75
101/02/29,101/02/29,56
101/03/01,101/03/01,55.9
101/03/02,101/03/02,55.6
101/03/03,101/03/03,55.4
101/03/05,101/03/05,54.85
101/03/06,101/03/06,54.6
101/03/07,101/03/07,54.4
101/03/08,101/03/08,54.7
101/03/09,101/03/09,54.95
101/03/12,101/03/12,54.35
101/03/13,101/03/13,55.1
101/03/14,101/03/14,55.9
101/03/15,101/03/15,55.65
101/03/16,101/03/16,55.4
101/03/19,101/03/19,55.25
101/03/20,101/03/20,54.85
101/03/21,101/03/21,54.85
101/03/22,101/03/22,55.6
101/03/23,101/03/23,55.45
101/03/26,101/03/26,54.55
101/03/27,101/03/27,55.25
101/03/28,101/03/28,55.45
101/03/29,101/03/29,54.7
101/03/30,101/03/30,54.9
101/04/02,101/04/02,54.7
101/04/03,101/04/03,54.25
101/04/05,101/04/05,53.65
101/04/06,101/04/06,53.75
101/04/09,101/04/09,53.1
101/04/10,101/04/10,53.1
101/04/11,101/04/11,53.3
101/04/12,101/04/12,53.35
